,City,Latitude,Temperature,Humidity,Cloud,Wind
0,tuktoyaktuk,69.44,6.0,87,90,3.6
1,smidovich,48.6,14.63,88,100,4.29
2,kodiak,39.95,24.7,61,1,4.1
3,bethel,60.79,17.32,55,40,4.6
4,saint george,39.45,23.68,60,0,0.29
5,geraldton,49.72,17.0,59,20,1.5
6,rikitea,-23.12,21.59,70,51,6.66
7,mmabatho,-25.85,12.0,30,0,1.5
8,ushuaia,-54.81,4.0,80,90,3.1
9,punta arenas,-53.16,5.0,93,75,5.7
10,kataysk,56.29,10.68,95,55,3.44
11,abnub,27.27,26.0,50,0,3.1
12,morro bay,35.37,22.86,60,1,3.6
13,bogale,16.29,25.68,92,91,2.54
14,lompoc,34.64,22.1,68,1,5.1
15,saleaula,-42.88,14.78,44,75,5.7
16,hobart,-3.94,26.5,76,81,5.59
17,tanete,6.8,26.94,78,20,3.1
18,georgetown,-5.67,24.65,84,99,8.46
19,tual,50.56,23.33,39,67,2.24
20,husavik,41.28,18.0,68,0,1.5
21,toliary,60.91,7.0,70,48,0.5
22,solovetskiy,-38.31,10.84,62,98,4.1
23,poum,-33.21,14.81,45,0,7.41
24,narsaq,66.15,7.13,69,25,1.62
25,barrow,37.14,21.27,73,0,3.23
26,jamestown,32.43,28.45,56,0,2.73
27,pangnirtung,40.33,23.41,56,1,2.1
28,lagoa,62.45,15.0,58,90,5.7
29,phalia,22.08,29.93,66,40,5.1
30,basco,73.51,4.65,96,100,9.72
31,yellowknife,-46.28,13.33,52,56,4.47
32,kapaa,19.91,23.27,92,35,1.64
33,dikson,-0.41,25.79,74,56,0.39
34,kaitangata,-34.42,15.69,91,0,0.89
35,jawhar,71.64,8.38,99,100,1.2
36,santa isabel do rio negro,42.65,17.95,60,75,2.6
37,hermanus,43.35,24.83,29,0,6.26
38,tiksi,68.05,4.14,94,55,0.5
39,albany,28.17,15.04,91,75,2.42
40,zhanaozen,67.46,22.75,35,15,2.42
41,ostrovnoy,-14.47,25.0,50,56,1.5
42,along,70.0,17.95,55,81,1.89
43,srednekolymsk,3.07,29.1,70,54,3.46
44,katherine,-41.87,10.0,100,90,6.2
45,belushya guba,43.26,19.24,45,75,4.1
46,ust-kuyga,39.51,31.78,18,0,6.99
47,butaritari,18.62,27.48,77,63,0.75
48,ancud,-35.1,16.32,100,0,0.45
49,hamilton,68.22,11.45,58,75,2.6
50,balkanabat,66.32,13.4,46,56,2.12
51,coahuayana,-18.5,28.23,33,13,4.2
52,kaeo,-46.19,11.11,75,95,4.02
53,aklavik,15.34,21.0,94,75,2.6
54,egvekinot,78.22,3.0,70,75,3.1
55,coxim,14.68,24.12,54,0,3.06
56,mataura,46.1,17.5,52,90,2.34
57,vaini,41.43,16.53,72,75,2.32
58,longyearbyen,-23.58,19.11,57,17,7.32
59,san cristobal,65.28,13.0,62,90,3.6
60,deep river,-42.48,10.0,100,90,6.2
61,saint marys,52.47,15.17,93,3,2.6
62,bluff,-10.18,27.0,51,0,2.1
63,norman wells,-33.64,3.95,67,0,5.0
64,castro,-21.21,25.0,69,0,6.7
65,broome,4.14,27.09,78,100,5.37
66,palmas,-13.73,11.67,41,0,1.74
67,busselton,8.96,13.0,87,75,3.1
68,avarua,6.19,28.0,74,20,1.79
69,meulaboh,50.7,14.0,87,90,2.1
70,caconda,-0.6,28.15,66,87,3.09
71,lebu,-15.77,24.0,15,54,0.5
72,puerto carreno,-33.93,11.89,76,0,2.1
73,port hardy,-34.53,11.8,93,0,3.1
74,hithadhoo,54.87,10.06,95,87,0.76
75,kununurra,26.54,26.0,100,40,1.0
76,cape town,-16.92,22.16,47,75,7.2
77,bredasdorp,11.74,32.27,35,0,2.4
78,mys shmidta,39.31,19.01,88,75,2.6
79,yuryuzan,63.75,8.94,70,75,1.0
80,bansgaon,17.01,26.0,88,75,2.1
81,cairns,26.78,25.23,92,100,5.33
82,dubti,56.2,14.79,93,90,4.53
83,port elizabeth,77.48,2.37,69,97,7.93
84,iqaluit,61.99,4.92,86,44,5.88
85,salalah,64.25,3.11,96,100,2.59
86,sagauli,13.22,28.0,74,20,5.1
87,hoganas,5.79,17.54,90,73,1.59
88,qaanaaq,55.76,17.75,52,1,6.2
89,paamiut,51.81,14.59,70,0,4.38
90,hofn,17.54,24.47,97,100,5.32
91,bathsheba,-22.97,18.0,82,75,2.1
92,jinka,60.14,4.55,90,17,0.67
93,dawson creek,22.92,20.14,99,100,0.83
94,atbasar,65.61,6.0,60,100,2.6
95,san quintin,-42.78,14.78,44,75,5.7
96,arraial do cabo,-31.54,11.55,38,82,0.98
97,nanortalik,60.75,8.71,69,100,1.89
98,mogok,48.64,17.05,88,40,0.5
99,tasiilaq,57.84,14.83,78,92,2.74
100,new norfolk,42.73,15.14,98,100,1.65
101,san juan,50.76,17.3,49,82,1.63
102,haines junction,-13.71,16.06,87,0,4.1
103,wanning,-28.01,17.5,18,0,4.5
104,alekseyevsk,30.72,28.89,56,36,2.24
105,vrangel,45.36,18.3,48,75,5.7
106,dombarovskiy,55.74,20.0,64,40,2.1
107,pisco,40.56,22.0,88,0,0.5
108,karasburg,70.86,6.69,92,100,4.37
109,altar,26.89,25.0,94,75,1.5
110,saint-philippe,-33.02,12.7,90,0,1.13
111,marcona,57.13,11.17,89,1,1.65
112,thompson,27.87,38.0,10,58,3.36
113,alghero,-30.97,14.07,26,0,3.07
114,berlevag,-28.95,18.95,55,0,0.5
115,birin,0.53,28.01,68,98,2.63
116,east london,69.58,8.46,87,75,5.7
117,kovernino,-33.59,15.0,92,0,1.34
118,adrar,24.46,32.0,59,20,6.0
119,carnarvon,30.75,25.68,76,0,8.09
120,codrington,-26.98,12.89,77,17,2.39
121,thinadhoo,-28.55,16.92,55,0,2.01
122,lyngseidet,17.62,24.41,87,100,2.65
123,port alfred,-33.69,9.12,80,0,2.16
124,xiamen,9.5,13.97,98,100,0.91
125,ajdabiya,19.71,24.84,62,90,5.7
126,san patricio,11.0,26.81,83,98,4.72
127,oranjemund,-3.44,22.97,89,97,3.16
128,mahbubabad,63.44,10.4,88,58,3.79
129,chuy,69.7,5.15,82,78,1.76
130,nedjo,-15.0,13.41,39,0,3.24
131,hilo,70.62,15.76,44,45,2.43
132,dingle,-35.17,17.22,100,2,0.45
133,mayumba,67.47,13.42,81,83,3.99
134,khorion,48.65,21.11,79,100,4.92
135,vestmannaeyjar,-20.34,19.26,93,40,0.5
136,pevek,5.43,22.37,94,100,1.78
137,kalabo,-26.25,10.73,31,0,1.17
138,chokurdakh,-4.88,25.02,84,52,1.7
139,ahipara,47.57,23.96,59,18,6.26
140,igarka,42.84,25.09,25,0,4.91
141,bonavista,6.3,27.81,80,100,5.27
142,bambous virieux,35.73,27.08,88,75,0.5
143,naze,37.46,21.89,82,90,5.1
144,alberton,52.7,15.49,62,15,0.88
145,carauari,59.7,15.67,87,75,3.0
146,matveyev kurgan,27.06,27.51,74,40,5.7
147,hami,-19.06,29.0,70,40,5.7
148,simbahan,53.05,13.0,93,90,2.0
149,atlantic city,28.28,5.59,67,90,0.96
150,hasaki,-35.85,11.09,71,100,1.62
151,half moon bay,23.99,18.94,55,90,5.1
152,verkh-usugli,-20.41,19.26,93,40,0.5
153,nikolskoye,-2.95,22.92,63,7,0.73
154,wahran,5.28,26.17,83,75,1.5
155,hobe sound,28.66,23.0,78,0,7.7
156,alofi,12.35,21.04,87,36,3.12
157,taolanaro,42.06,16.95,86,45,0.89
158,petropavlovsk-kamchatskiy,27.63,21.0,100,75,1.0
159,illoqqortoormiut,-26.05,10.23,50,0,1.78
160,gamba,-20.21,19.24,93,40,0.5
161,linares,-0.72,25.0,88,90,3.1
162,constitucion,69.38,5.73,78,53,2.43
163,nizhneyansk,16.17,30.0,74,20,2.1
164,mahebourg,-34.0,12.71,85,0,2.08
165,kindu,63.73,12.86,93,75,1.5
166,victoria,-9.8,26.15,73,51,7.5
167,los llanos de aridane,51.4,9.16,93,34,1.92
168,domoni,5.79,22.69,96,100,1.73
169,abu zabad,16.29,27.93,82,100,7.11
170,wangou,49.1,24.66,38,20,1.5
171,banepa,37.31,30.0,35,0,3.1
172,la asuncion,33.01,25.49,70,45,1.45
173,quatre cocos,-3.66,26.33,81,100,6.28
174,port-gentil,-3.75,19.46,72,0,1.48
175,leningradskiy,45.72,24.86,33,13,4.08
176,laguna,-0.86,24.94,88,90,4.06
177,kruisfontein,67.67,10.79,82,100,10.09
178,sistranda,-8.93,26.38,59,76,0.5
179,atuona,62.71,11.42,95,100,5.16
180,charyshskoye,-10.93,26.0,69,20,3.6
181,soubre,-46.13,11.11,75,100,4.02
182,catuday,-8.09,20.01,64,15,6.55
183,creston,7.45,27.07,63,93,0.47
184,amderma,70.24,8.68,87,81,2.6
185,milas,43.6,18.88,52,0,1.5
186,phan rang,41.42,21.44,42,0,0.71
187,zhumadian,35.03,26.43,78,40,1.0
188,namatanai,63.75,14.44,81,2,1.18
189,payo,64.42,12.63,53,75,2.41
190,ipatovo,-36.71,11.98,66,0,5.02
191,sorong,-3.3,26.0,78,20,1.5
192,sorland,18.42,28.21,79,40,4.1
193,airai,59.1,15.77,94,100,5.17
194,troitsko-pechorsk,21.05,30.81,59,40,3.1
195,horta,8.0,27.78,67,100,1.34
196,tuatapere,1.74,27.28,74,100,0.18
197,custodia,-23.68,16.0,72,75,1.5
198,baculin,12.65,24.02,87,99,2.78
199,oksfjord,10.47,29.0,74,75,4.6
200,castres,57.46,11.0,93,0,1.0
201,samalaeulu,40.77,20.65,72,1,4.53
202,saldanha,-17.73,22.39,74,90,4.45
203,fukue,-2.57,28.2,78,77,5.24
204,vilyuysk,52.34,18.28,75,8,0.29
205,asau,15.86,28.55,68,49,1.74
206,provideniya,43.88,23.8,64,0,3.6
207,horsham,-34.05,16.42,41,0,1.79
208,manacapuru,43.21,17.78,100,90,1.0
209,barentsburg,43.66,18.9,46,90,3.1
210,road town,47.8,13.0,58,24,2.0
211,vao,-45.75,11.67,53,25,3.58
212,labrea,-0.74,22.46,73,0,7.2
213,teya,53.12,15.35,93,0,0.5
214,marawi,29.36,36.38,32,1,2.6
215,vaitupu,-32.03,8.33,92,0,1.35
216,sibolga,18.22,27.99,79,40,4.6
217,porto novo,35.75,25.43,73,1,1.5
218,gayeri,69.49,12.0,100,75,3.0
219,buluang,-37.21,14.86,63,14,6.71
220,nerekhta,-20.63,16.58,65,8,1.28
221,mastic beach,53.52,14.0,76,0,1.0
222,caravelas,71.98,14.68,60,86,2.03
223,kavieng,60.47,16.71,72,34,1.99
224,tahe,-40.86,8.29,51,0,2.44
225,puerto escondido,-4.77,22.0,100,75,1.0
226,imperia,43.18,27.83,25,0,7.95
227,plettenberg bay,16.73,25.1,91,100,3.41
228,carballo,30.1,26.99,71,35,0.45
229,portland,-16.84,17.13,96,67,1.04
230,bengkulu,-32.72,17.66,50,0,4.1
231,zhezkazgan,1.48,26.92,94,75,5.14
232,waitati,20.14,23.84,89,100,4.15
233,puerto ayora,33.33,29.64,38,40,4.6
234,bunbury,31.63,35.0,20,40,6.2
235,del rio,5.35,25.66,76,40,9.96
236,kousseri,-15.89,25.69,30,83,0.69
237,rio grande,18.22,20.52,52,0,1.82
238,the valley,39.47,23.51,100,20,1.5
239,muskogee,-23.87,14.37,92,4,1.09
240,talnakh,24.09,28.0,24,0,2.1
241,whangamata,-7.96,24.61,82,79,4.93
242,ponta do sol,-23.7,19.0,24,0,2.07
243,podstepki,22.2,29.46,71,28,4.14
244,khatanga,15.09,30.11,62,20,6.2
245,tsihombe,33.19,26.09,94,90,3.6
246,tilichiki,54.02,14.0,82,90,11.3
247,takaka,62.53,17.43,59,100,4.02
248,loandjili,45.63,18.33,59,75,2.6
249,kuryk,65.53,12.89,94,100,6.22
250,yanam,24.8,29.51,83,75,6.7
251,huangmei,-42.72,10.44,67,0,1.75
252,mocuba,52.12,15.82,67,0,3.1
253,nelson bay,30.3,31.29,38,40,4.1
254,pontian kecil,68.06,14.22,39,29,2.48
255,ghatanji,66.83,9.06,88,100,3.63
256,ruidoso,-16.48,25.81,70,5,4.48
257,marrakesh,52.04,11.0,87,0,2.0
258,hobyo,71.97,11.43,72,100,2.13
259,barra do garcas,47.96,10.88,75,33,5.93
260,abha,6.87,22.67,95,85,0.52
261,felanitx,54.34,9.34,94,100,3.46
262,inhambane,62.23,12.0,100,100,7.2
